pair,init_seed,noise_seed,perturb_site,final_hamming,peak_hamming,time_to_peak,short_lam,late_damage,sustained_zero,sync_time,model,model_tag,arch,window,temp,L,steps,pairs,absorbing
0,3,11,1,32.0,37.0,28,0.34011973816621555,0.6666666666666666,0,,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
1,5003,5011,8,29.0,40.0,46,0.35263605246161617,0.636904761904762,0,,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
2,10003,10011,15,30.0,37.0,69,0.19459101490553132,0.6190476190476191,0,,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
3,15003,15011,22,0.0,3.0,3,0.3662040962227033,0.0,1,5,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
4,20003,20011,29,29.0,37.0,64,0.24849066497880004,0.6676587301587302,0,,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
6,30003,30011,43,32.0,37.0,32,0.3367295829986474,0.6617063492063492,0,,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
7,35003,35011,2,29.0,36.0,8,0.44793986730701374,0.49503968253968256,0,,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
8,40003,40011,9,33.0,37.0,23,0.35263605246161617,0.6359126984126985,0,,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
9,45003,45011,16,32.0,39.0,56,0.2772588722239781,0.7142857142857143,0,,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
10,50003,50011,23,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
11,55003,55011,30,37.0,37.0,100,0.21972245773362195,0.5972222222222222,0,,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
12,60003,60011,37,21.0,30.0,47,0.19459101490553132,0.42063492063492064,0,,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
13,65003,65011,44,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
14,70003,70011,3,30.0,36.0,42,0.3258096538021482,0.5882936507936508,0,,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
15,75003,75011,10,22.0,37.0,39,0.29444389791664405,0.6071428571428571,0,,distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0
0,3,11,1,28.0,34.0,74,0.3332204510175204,0.5843253968253969,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
1,5003,5011,8,34.0,38.0,73,0.34657359027997264,0.6398809523809524,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
2,10003,10011,15,22.0,37.0,84,0.3044522437723423,0.6636904761904762,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
3,15003,15011,22,25.0,36.0,97,0.1791759469228055,0.6398809523809524,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,5,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
6,30003,30011,43,0.0,2.0,1,0.6931471805599453,0.0,1,3,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
7,35003,35011,2,28.0,36.0,38,0.3044522437723423,0.6190476190476191,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
8,40003,40011,9,20.0,36.0,91,0.2564949357461537,0.5704365079365079,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
9,45003,45011,16,26.0,35.0,59,0.23025850929940458,0.5982142857142857,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
10,50003,50011,23,31.0,35.0,63,0.0,0.6101190476190476,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
11,55003,55011,30,28.0,36.0,38,0.20794415416798356,0.5684523809523809,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
12,60003,60011,37,31.0,36.0,97,0.20794415416798356,0.6051587301587301,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
13,65003,65011,44,0.0,2.0,2,0.34657359027997264,0.0,1,4,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
14,70003,70011,3,35.0,40.0,66,0.3295836866004329,0.6061507936507936,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
15,75003,75011,10,35.0,37.0,97,0.3091042453358316,0.611111111111111,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0
