pair,init_seed,noise_seed,perturb_site,final_hamming,peak_hamming,time_to_peak,short_lam,late_damage,sustained_zero,sync_time,model,model_tag,arch,window,temp,L,steps,pairs,absorbing
3,15003,15011,22,28.0,36.0,20,0.24323876863191415,0.5649509803921569,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,80,8,0
4,20003,20011,29,28.0,36.0,64,0.28782313662425574,0.6188725490196079,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,80,8,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,0.6,48,80,8,0
6,30003,30011,43,21.0,37.0,21,0.40726206725268527,0.613970588235294,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,80,8,0
7,35003,35011,2,41.0,41.0,47,0.45136473908052804,0.8259803921568628,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,80,8,0
0,3,11,1,29.0,34.0,74,0.40726206725268527,0.6262254901960784,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,80,8,0
1,5003,5011,8,30.0,38.0,73,0.41197960825054114,0.6507352941176471,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,80,8,0
2,10003,10011,15,35.0,35.0,55,0.36805487239580503,0.6482843137254902,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,80,8,0
3,15003,15011,22,30.0,35.0,52,0.22396993365350687,0.6274509803921569,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,80,8,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,5,distilroberta-base,distilroberta-base,local,2,0.8,48,80,8,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,0.8,48,80,8,0
6,30003,30011,43,0.0,2.0,1,0.6931471805599453,0.0,1,3,distilroberta-base,distilroberta-base,local,2,0.8,48,80,8,0
7,35003,35011,2,31.0,36.0,38,0.41197960825054114,0.6200980392156863,0,,distilroberta-base,distilroberta-base,local,2,0.8,48,80,8,0
0,3,11,1,18.0,32.0,29,0.36129646973702056,0.3700980392156863,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,80,8,0
1,5003,5011,8,16.0,28.0,22,0.36129646973702056,0.4338235294117647,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,80,8,0
2,10003,10011,15,22.0,28.0,13,0.36129646973702056,0.4276960784313726,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,80,8,0
3,15003,15011,22,27.0,28.0,29,0.0,0.4485294117647059,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,80,8,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.0,48,80,8,0
5,25003,25011,36,0.0,4.0,3,0.46209812037329684,0.0,1,6,distilroberta-base,distilroberta-base,local,2,1.0,48,80,8,0
6,30003,30011,43,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.0,48,80,8,0
7,35003,35011,2,24.0,27.0,8,0.41197960825054114,0.4754901960784314,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,80,8,0
0,3,11,1,0.0,21.0,11,0.31061333122350004,0.0,1,23,distilroberta-base,distilroberta-base,local,2,1.2,48,80,8,0
1,5003,5011,8,17.0,24.0,57,0.28782313662425574,0.2818627450980392,0,,distilroberta-base,distilroberta-base,local,2,1.2,48,80,8,0
2,10003,10011,15,0.0,4.0,3,0.46209812037329684,0.0,1,23,distilroberta-base,distilroberta-base,local,2,1.2,48,80,8,0
3,15003,15011,22,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.2,48,80,8,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.2,48,80,8,0
5,25003,25011,36,0.0,5.0,16,0.0,0.0,1,52,distilroberta-base,distilroberta-base,local,2,1.2,48,80,8,0
6,30003,30011,43,15.0,23.0,46,0.25993019270997947,0.3112745098039216,0,,distilroberta-base,distilroberta-base,local,2,1.2,48,80,8,0
7,35003,35011,2,13.0,23.0,17,0.3298821662019073,0.27818627450980393,0,,distilroberta-base,distilroberta-base,local,2,1.2,48,80,8,0
0,3,11,1,0.0,14.0,6,0.43984288826920975,0.0,1,17,distilroberta-base,distilroberta-base,local,2,1.4,48,80,8,0
1,5003,5011,8,0.0,20.0,17,0.25993019270997947,0.0,1,32,distilroberta-base,distilroberta-base,local,2,1.4,48,80,8,0
2,10003,10011,15,0.0,3.0,2,0.5493061443340549,0.0,1,7,distilroberta-base,distilroberta-base,local,2,1.4,48,80,8,0
3,15003,15011,22,0.0,5.0,6,0.26823965207235007,0.0,1,9,distilroberta-base,distilroberta-base,local,2,1.4,48,80,8,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.4,48,80,8,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.4,48,80,8,0
6,30003,30011,43,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.4,48,80,8,0
7,35003,35011,2,0.0,12.0,5,0.4969813299576001,0.0,1,12,distilroberta-base,distilroberta-base,local,2,1.4,48,80,8,0
0,3,11,1,48.0,48.0,20,0.3863803066697895,1.0,0,,distilroberta-base,distilroberta-base,local,3,0.6,48,80,8,0
1,5003,5011,8,48.0,48.0,15,0.4407950655770202,0.9938725490196078,0,,distilroberta-base,distilroberta-base,local,3,0.6,48,80,8,0
2,10003,10011,15,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,3,0.6,48,80,8,0
3,15003,15011,22,46.0,46.0,72,0.40235947810852507,0.9129901960784313,0,,distilroberta-base,distilroberta-base,local,3,0.6,48,80,8,0
4,20003,20011,29,48.0,48.0,17,0.4292484005606433,1.0,0,,distilroberta-base,distilroberta-base,local,3,0.6,48,80,8,0
5,25003,25011,36,48.0,48.0,22,0.42091197874830927,0.9987745098039215,0,,distilroberta-base,distilroberta-base,local,3,0.6,48,80,8,0
6,30003,30011,43,48.0,48.0,14,0.4444185076861767,0.9987745098039215,0,,distilroberta-base,distilroberta-base,local,3,0.6,48,80,8,0
7,35003,35011,2,48.0,48.0,17,0.4165255637719005,0.9987745098039215,0,,distilroberta-base,distilroberta-base,local,3,0.6,48,80,8,0
0,3,11,1,48.0,48.0,12,0.4332169878499658,0.9852941176470589,0,,distilroberta-base,distilroberta-base,local,3,0.8,48,80,8,0
1,5003,5011,8,47.0,48.0,51,0.37446653419424886,0.9607843137254902,0,,distilroberta-base,distilroberta-base,local,3,0.8,48,80,8,0
2,10003,10011,15,48.0,48.0,27,0.3805653047154279,0.9901960784313726,0,,distilroberta-base,distilroberta-base,local,3,0.8,48,80,8,0
3,15003,15011,22,48.0,48.0,17,0.4165255637719005,0.9963235294117646,0,,distilroberta-base,distilroberta-base,local,3,0.8,48,80,8,0
4,20003,20011,29,48.0,48.0,22,0.42091197874830927,0.9987745098039215,0,,distilroberta-base,distilroberta-base,local,3,0.8,48,80,8,0
5,25003,25011,36,48.0,48.0,17,0.3805653047154279,1.0,0,,distilroberta-base,distilroberta-base,local,3,0.8,48,80,8,0
6,30003,30011,43,47.0,48.0,20,0.3972567287934932,0.9938725490196078,0,,distilroberta-base,distilroberta-base,local,3,0.8,48,80,8,0
