model,model_tag,arch,window,temp,pair,generation,hamming
distilroberta-base,distilroberta-base,local,1,0.6,4,11,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,12,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,13,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,14,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,15,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,16,1.0
distilroberta-base,distilroberta-base,local,1,0.6,4,17,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,18,1.0
distilroberta-base,distilroberta-base,local,1,0.6,4,19,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,20,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,21,1.0
distilroberta-base,distilroberta-base,local,1,0.6,4,22,1.0
distilroberta-base,distilroberta-base,local,1,0.6,4,23,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,24,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,25,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,26,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,27,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,28,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,29,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,30,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,31,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,32,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,33,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,34,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,35,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,36,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,37,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,38,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,39,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,40,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,41,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,42,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,43,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,44,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,45,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,46,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,47,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,48,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,49,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,50,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,51,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,52,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,53,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,54,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,55,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,56,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,57,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,58,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,59,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,60,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,61,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,62,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,63,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,64,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,65,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,66,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,67,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,68,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,69,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,70,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,71,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,72,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,73,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,74,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,75,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,76,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,77,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,78,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,79,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,80,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,0,1.0
distilroberta-base,distilroberta-base,local,1,0.6,5,1,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,2,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,3,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,4,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,5,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,6,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,7,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,8,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,9,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,10,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,11,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,12,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,13,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,14,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,15,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,16,0.0
distilroberta-base,distilroberta-base,local,1,0.6,5,17,0.0
